fru_minor_type,dn,fru_major_type,vid,series,_ManagedObject__xtra_props,pid,_handle,_ManagedObject__xtra_props_dirty_mask,clei,oem_part_number,_ManagedObject__status,_class_id,child_action,sku,descr,_ManagedObject__parent_dn,collected_date,policy_owner,sacl,policy_level,rn,status,description,oem_name,int_id,_ManagedObject__parent_mo,name,_child,_dirty_mask,is_sec_fw_update,caption,part_number,vendor_equipment_type
,capabilities/manufacturer-0xCE00-model-M393B1K70BH1-CH9-revision-0/manufacturing,,V01,,{},N01-M308GB2,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B1K70BH1-CH901,,EquipmentManufacturingDef,,N01-M308GB2,,capabilities/manufacturer-0xCE00-model-M393B1K70BH1-CH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,"Samsung Electronics, Inc.",257673,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,[],0,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,15-11961-01,
,capabilities/manufacturer-0x80CE-model-M393B5170EH1-CH9-revision-0/manufacturing,,V01,,{},N01-M304GB1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5170EH1-CH901,,EquipmentManufacturingDef,,N01-M304GB1,,capabilities/manufacturer-0x80CE-model-M393B5170EH1-CH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"4GB DDR3 DIMM; ECC, Registered, 1333MHz","Samsung Electronics, Inc.",257676,,"4GB DDR3 DIMM; ECC, Registered, 1333MHz",[],0,,"4GB DDR3 DIMM; ECC, Registered, 1333MHz",15-11767-01,
,capabilities/manufacturer-0xCE00-model-M393B5670EH1-CF8-revision-0/manufacturing,,V01,,{},N01-M302GA1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5670EH1-CF801,,EquipmentManufacturingDef,,N01-M302GA1,,capabilities/manufacturer-0xCE00-model-M393B5670EH1-CF8-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"2GB DDR3 DIMM; ECC, Registered, 1066MHz","Samsung Electronics, Inc.",257680,,"2GB DDR3 DIMM; ECC, Registered, 1066MHz",[],0,,"2GB DDR3 DIMM; ECC, Registered, 1066MHz",15-11764-01,
,capabilities/manufacturer-0x80CE-model-M393B2K70DMB-YH9-revision-0/manufacturing,,V01,,{},UCS-MR-2x164RX-C,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B2K70DMB-YH9,,EquipmentManufacturingDef,,UCS-MR-2x164RX-C,,capabilities/manufacturer-0x80CE-model-M393B2K70DMB-YH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"16GB,DDR3-1333-MHzs,RDIMM,Quad rank/1.35V","Samsung Electronics, Inc.",257683,,"16GB,DDR3-1333-MHzs,RDIMM,Quad rank/1.35V",[],0,,"16GB,DDR3-1333-MHzs,RDIMM,Quad rank/1.35V",15-13493-01,
,capabilities/manufacturer-0xCE00-model-M393B5170FH0-YH9-revision-0/manufacturing,,V01,,{},N01-M304GB1-L/N01-M304GB1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5170FH0-YH9,,EquipmentManufacturingDef,,N01-M304GB1-L/N01-M304GB1,,capabilities/manufacturer-0xCE00-model-M393B5170FH0-YH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,"Samsung Electronics, Inc.",257686,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,[],0,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,15-12296-01,
,capabilities/manufacturer-0xCE00-model-M393B2K70CMB-YF8-revision-0/manufacturing,,V01,,{},A02-M332GD3-2-L,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B2K70CMB-YF8,,EquipmentManufacturingDef,,A02-M332GD3-2-L,,capabilities/manufacturer-0xCE00-model-M393B2K70CMB-YF8-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"16GB,DDR3-1066MHz,RDIMM,240P,8K cycles,1.35V-1.5V,NO HS,QUAD RANK","Samsung Electronics, Inc.",257689,,"16GB,DDR3-1066MHz,RDIMM,240P,8K cycles,1.35V-1.5V,NO HS,QUAD RANK",[],0,,"16GB,DDR3-1066MHz,RDIMM,240P,8K cycles,1.35V-1.5V,NO HS,QUAD RANK",15-13131-01,
,capabilities/manufacturer-0xAD00-model-M393B2G70DB0-YK0-revision-0/manufacturing,,V01,,{},UCS-MR-1X162RY-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B2G70DB0-YK0,,EquipmentManufacturingDef,,UCS-MR-1X162RY-A,,capabilities/manufacturer-0xAD00-model-M393B2G70DB0-YK0-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,"Samsung Electronics, Inc.",257692,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,[],0,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,15-13615-01,
,capabilities/manufacturer-0xCE00-model-M393B1G70EM1-CF8-revision-0/manufacturing,,V01,,{},N01-M308GA1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B1G70EM1-CF801,,EquipmentManufacturingDef,,N01-M308GA1,,capabilities/manufacturer-0xCE00-model-M393B1G70EM1-CF8-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1066MHz RDIMM/PC3-8500/quad rank 1Gb DRAM,"Samsung Electronics, Inc.",257694,,8GB DDR3-1066MHz RDIMM/PC3-8500/quad rank 1Gb DRAM,[],0,,8GB DDR3-1066MHz RDIMM/PC3-8500/quad rank 1Gb DRAM,15-11928-01,
,capabilities/manufacturer-0xCE00-model-M393B5270DH0-YH9-revision-0/manufacturing,,V01,,{},UCS-MR-1X041RX-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5270DH0-YH9,,EquipmentManufacturingDef,,UCS-MR-1X041RX-A,,capabilities/manufacturer-0xCE00-model-M393B5270DH0-YH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,4GB DDR3-1333-MHz RDIMM/PC3-10600/single rank/1.35v,"Samsung Electronics, Inc.",257697,,4GB DDR3-1333-MHz RDIMM/PC3-10600/single rank/1.35v,[],0,,4GB DDR3-1333-MHz RDIMM/PC3-10600/single rank/1.35v,15-13542-01,
,capabilities/manufacturer-0x80CE-model-M393B1K70CH0-YH9-revision-0/manufacturing,,V01,,{},N01-M308GB2-L/N01-M308GB2,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B1K70CH0-YH9,,EquipmentManufacturingDef,,N01-M308GB2-L/N01-M308GB2,,capabilities/manufacturer-0x80CE-model-M393B1K70CH0-YH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,"Samsung Electronics, Inc.",257700,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,[],0,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank/dual or standard voltage,15-12291-01,
,capabilities/manufacturer-0xCE00-model-M393B2G70DB0-YK0-revision-0/manufacturing,,V01,,{},UCS-MR-1X162RY-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B2G70DB0-YK0,,EquipmentManufacturingDef,,UCS-MR-1X162RY-A,,capabilities/manufacturer-0xCE00-model-M393B2G70DB0-YK0-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,"Samsung Electronics, Inc.",257704,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,[],0,,16GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35v,15-13615-01,
,capabilities/manufacturer-0x80AD-model-HMT42GR7MFR4A-PB-revision-0/manufacturing,,V01,,{},UCS-MR-1X162RY-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT42GR7MFR4A-PB,,EquipmentManufacturingDef,,UCS-MR-1X162RY-A,,capabilities/manufacturer-0x80AD-model-HMT42GR7MFR4A-PB-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,16GB DDR3-1600-MHz RDIMM/PC3-12800/dual rank/1.35v,Hynix.,257706,,16GB DDR3-1600-MHz RDIMM/PC3-12800/dual rank/1.35v,[],0,,16GB DDR3-1600-MHz RDIMM/PC3-12800/dual rank/1.35v,15-13615-01,
,capabilities/manufacturer-0xAD00-model-HMT31GR7AFR4C-H9-revision-0/manufacturing,,V01,,{},N01-M308GB2,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT31GR7AFR4C-H9DB,,EquipmentManufacturingDef,,N01-M308GB2,,capabilities/manufacturer-0xAD00-model-HMT31GR7AFR4C-H9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,Hynix Semiconductor Inc.,257708,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,[],0,,8GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 2Gb DRAM,15-11961-01,
