fsm_stage_descr,dn,num_of_eth_host_ifs,total_memory,scaled_mode,fsm_try,num_of_fc_host_ifs,sacl,discovery_status,fsm_rmt_inv_err_descr,_handle,oper_state,presence,num_of40_g_adaptors_with_old_fw,num_of_adaptors,lc_ts,num_of_threads,fsm_rmt_inv_err_code,fsm_prev,_ManagedObject__status,fsm_status,serial,revision,availability,_class_id,child_action,admin_power,server_id,fsm_stamp,available_memory,descr,_ManagedObject__parent_dn,fsm_progr,fsm_flags,part_number,chassis_id,check_point,policy_owner,local_id,managing_inst,oper_qualifier,mfg_time,policy_level,rn,oper_pwr_trans_src,discovery,status,vid,_ManagedObject__xtra_props,vendor,conn_path,num_of40_g_adaptors_with_unknown_fw,memory_speed,flt_aggr,conn_status,assigned_to_dn,admin_state,num_of_cpus,int_id,fsm_rmt_inv_rslt,_ManagedObject__parent_mo,association,lc,name,_child,_dirty_mask,collected_date,low_voltage_memory,original_uuid,uuid,_ManagedObject__xtra_props_dirty_mask,fsm_descr,oper_power,slot_id,usr_lbl,num_of_cores,model,num_of_cores_enabled,operability
,sys/chassis-10/blade-4,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3396,0,available,ComputeBlade,,policy,10/4,2016-12-22T08:29:31.110,196608,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-4,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75794,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a04-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a04-b9a761bde3fb,1,,on,4,,8,UCSB-B22-M3,8,operable
,sys/chassis-10/blade-3,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3401,0,available,ComputeBlade,,policy,10/3,2016-12-22T08:29:28.945,393216,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-3,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75872,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a03-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a03-b9a761bde3fb,1,,on,3,,8,UCSB-B200-M3,8,operable
,sys/chassis-7/blade-2,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3381,0,available,ComputeBlade,,policy,7/2,2016-12-28T04:42:03.981,393216,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-2,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026832,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0702-b9a761bde3fb,1b4e28ba-2fa1-11d2-0702-b9a761bde3fb,1,,on,2,,8,UCSB-B200-M3,8,operable
,sys/chassis-7/blade-1,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3384,0,available,ComputeBlade,,policy,7/1,2016-12-28T04:42:03.959,196608,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-1,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026855,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0701-b9a761bde3fb,1b4e28ba-2fa1-11d2-0701-b9a761bde3fb,1,,on,1,,8,UCSB-B22-M3,8,operable
,sys/chassis-7/blade-5,0,8192,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,6,none,DiscoverSuccess,,nop,3379,0,available,ComputeBlade,,policy,7/5,2016-12-28T04:42:03.989,8192,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-5,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,1,2026877,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0705-b9a761bde3fb,1b4e28ba-2fa1-11d2-0705-b9a761bde3fb,1,,on,5,,6,UCSB-B200-M3,6,operable
,sys/chassis-7/blade-3,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3385,0,available,ComputeBlade,,policy,7/3,2016-12-28T04:42:04.081,393216,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-3,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026899,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0703-b9a761bde3fb,1b4e28ba-2fa1-11d2-0703-b9a761bde3fb,1,,on,3,,8,UCSB-B200-M3,8,operable
,sys/chassis-7/blade-8,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3383,0,available,ComputeBlade,,policy,7/8,2016-12-28T04:42:04.027,393216,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-8,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026921,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0708-b9a761bde3fb,1b4e28ba-2fa1-11d2-0708-b9a761bde3fb,1,,on,8,,8,UCSB-B200-M3,8,operable
,sys/chassis-7/blade-4,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3380,0,available,ComputeBlade,,policy,7/4,2016-12-28T04:42:03.967,196608,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-4,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026945,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0704-b9a761bde3fb,1b4e28ba-2fa1-11d2-0704-b9a761bde3fb,1,,on,4,,8,UCSB-B22-M3,8,operable
,sys/chassis-7/blade-6,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3386,0,available,ComputeBlade,,policy,7/6,2016-12-28T04:42:03.973,393216,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-6,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2026989,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0706-b9a761bde3fb,1b4e28ba-2fa1-11d2-0706-b9a761bde3fb,1,,on,6,,8,UCSB-B200-M3,8,operable
,sys/chassis-7/blade-7,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3382,0,available,ComputeBlade,,policy,7/7,2016-12-28T04:42:04.019,196608,,sys/chassis-7,100,,,7,discovered,local,,A,,not-applicable,0,blade-7,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,2063641,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0707-b9a761bde3fb,1b4e28ba-2fa1-11d2-0707-b9a761bde3fb,1,,on,7,,8,UCSB-B22-M3,8,operable
